Adaline - L'eterna giovinezza,2015,https://image.tmdb.org/t/p/w342/sra72Jgh5P0VdnMa8icgtA7D1vT.jpg,Adaline.L.Eterna.Giovinezza.2015.ITA.ENG.AC3.Subs.1080p.BluRay.x264-HRS.mkv,false,"Adeline, una giovane donna nata a cavallo del XX secolo, cessa misteriosamente di invecchiare in seguito a un incidente avvenuto in una gelida notte. Mentre custodisce gelosamente il suo segreto, Adeline intraprende una serie di incredibili avventure lungo tutto il corso del Novecento prima che, dopo anni di vita solitaria, trovi l'amore e il coraggio, necessari a vivere a pieno.","Fantasy,Dramma,Romance"
After Earth,2013,https://image.tmdb.org/t/p/w342/pYRFgX17oya6hhZPo833IZc556D.jpg,After.Earth.Dopo.La.Fine.Del.Mondo.2013.ITA.AC3.Subs.1080p.BluRay.x264-HRS.mkv,false,"Nel futuro la razza umana vive in continua guerra contro una specie aliena di natura animale, potente ma cieca, che rileva la presenza degli uomini fiutandone la paura. Solo una classe di militari, i ""ranger"", sono in grado di combatterli perchè addestrati a non provare più alcun sentimento di terrore. Il figlio di uno dei ranger più noti e stimati si troverà in mezzo ad un atterraggio di fortuna, assieme al padre e ad un esemplare alieno, su un pianeta da tempo disabitato dall'uomo, la Terra. Lì il figlio dovrà dimostrare al padre, reso infermo dall'atterraggio di fortuna, di essere all'altezza del titolo di ""ranger"".","Fantascienza,Azione,Avventura"
Collateral,2004,https://image.tmdb.org/t/p/w342/rBGAvgfVb1FeXHWNnSvdNqWAqu4.jpg,Collateral.2004.ITA.AC3.Subs.1080p.BluRay.x264-HRS.mkv,false,"Los Angeles, atmosfera sincopata. Max, tassista modello, compie una corsa con un procuratore donna che avrebbe dovuto discutere un caso in tribunale la mattina successiva. Immediatamente dopo, un nuovo cliente, Vincent, che gli fa una proposta allettante, accompagnarlo per l'intera notte in cambio di 700 dollari. Max si fa convincere, senza sapere che da quel momento avrebbe iniziato un viaggio allucinante. Vincent è infatti un killer di professione che deve regolare i conti con cinque persone, una delle quali, a sua insaputa, sta a cuore al conducente di taxi.","Dramma,Crime,Thriller"
Déjà Vu - Corsa contro il tempo,2006,https://image.tmdb.org/t/p/w342/kU19HCNb7nilcjW3bfnPOolALr1.jpg,Deja.Vu.Corsa.Contro.Il.Tempo.2006.ITA.ENG.AC3.Subs.1080p.BluRay.x264-HRS.mkv,false,"Doug Carlin è l’agente dell’ATF, sezione alcolici, tabacchi e armi da fuoco, incaricato di indagare sull’attentato terroristico che ha fatto esplodere e affondare un traghetto fluviale uccidendo centinaia di passeggeri. Lo stesso giorno, sulle rive del fiume viene rinvenuto il corpo senza vita di Claire Kuchever, una giovane donna che Doug sente di avere già conosciuto e amato perdutamente. Scoprirà presto che l’omicidio è collegato all’esplosione. Avvicinato da Pryzwarra, agente dell’FBI, Doug è reclutato per la durata dell’indagine da un’unità segreta altamente tecnologica che gestisce informazioni satellitari, registrazioni digitali che ricostruiscono e osservano gli avvenimenti passati. Convinto di investigare un passato finito e accaduto che gli permetterà di scovare l’attentatore, Doug scopre che la scienza ha piegato quel passato fino a costruire un ponte col presente. Difficile resistere a Claire e alla tentazione di alterare il corso degli eventi.","Azione,Thriller,Fantascienza"
Fight Club,1999,https://image.tmdb.org/t/p/w342/y0uiOBNcCGeZOizzqMF7W7ZSO1H.jpg,Fight.Club.1999.ITA.AC3.1080p.BluRay.x264-HRS.mkv,false,"Un uomo di trent'anni è insofferente su tutto e la notte non riesce più a dormire. In cerca di qualche luogo dove scaricare la propria ansia si mette a frequentare quei corsi dove gruppi di malati gravi si riuniscono e confessano agli altri le rispettive situazioni. Mentre si lascia andare alla commozione e al pianto di fronte a quello che vede, l'uomo fa la conoscenza prima di Marla Singer poi di Tyler Durden. Lei è una ragazza a sua volta alla deriva, incapace di scelte o decisioni; lui è un tipo deciso e vigoroso con un'idea precisa in testa. Tyler fa saltare per aria l'appartamento dell'uomo e i due vanno a vivere insieme in una casa fatiscente. Deciso a coinvolgerlo nel suo progetto, Tyler lo fa entrare in un 'Fight Club', uno stanzone sotterraneo dove ci si riunisce per picchiarsi e in questo modo sentirsi di nuovo vivi...",Dramma
Game Therapy,2015,https://image.tmdb.org/t/p/w342/83s5qG0bgRgJeJHlFdhexCS3la8.jpg,Game Therapy (2015).mkv,false,"Lorenzo sta per finire la scuola, è un ragazzo intelligente e ironico, ma la sua intelligenza e ironia si esprimono al meglio nel mondo dei videogame, in cui si rifugia per sfuggire alla realtà, che trova noiosa, limitata e pericolosamente imprevedibile.","Fantascienza,Avventura"
Il silenzio degli innocenti,1991,https://image.tmdb.org/t/p/w342/vUTgF8Rp6tMGRGZtF9YmpSLRCFh.jpg,Il Silenzio Degli Innocenti - The Silence of the Lambs (1991).avi,false,"Dal romanzo omonimo di Thomas Harris. Una giovane recluta dell'FBI è incaricata di far visita in carcere a Hannibal Lecter, psichiatra pluriomicida, per ottenere informazioni su un assassino psicopatico che ha ucciso e scuoiato cinque donne.","Crime,Dramma,Thriller"
Il ragazzo invisibile,2014,https://image.tmdb.org/t/p/w342/m1TR5U32Vr4BnK5wOQGO4Fi7YNx.jpg,Il.Ragazzo.Invisibile.2014.ITA.DTS.AC3.Subs.1080p.BluRay.x264-HRS.mkv,false,"Michele è un adolescente e vive a Trieste con la mamma Giovanna, poliziotta single (""Non zitella!"") da quando il marito, anche lui poliziotto, è venuto a mancare. A scuola i bulletti della classe, Ivan e Brando, lo tiranneggiano e la ragazza di cui è innamorato, Stella, sembra non accorgersi di lui. Ma un giorno Michele scopre di avere un potere, anzi, un superpotere: quello di diventare invisibile. Sarà solo la prima di una serie di scoperte strabilianti che cambieranno la vita a lui e a tutti quelli che lo circondano.",Fantasy
Inside Out,2015,https://image.tmdb.org/t/p/w342/uSf1ni3uJ0507C2Nwu2avdXMmiG.jpg,Inside.Out.2015.ITA.DTS.AC3.ENG.AC3.Subs.1080p.BluRay.x264-HRS.mkv,false,"Crescere non è sempre facile e Riley, una ragazzina di 11 anni, se ne rende conto quando per seguire il lavoro del padre a San Francisco è costretta a lasciare la sua vita nel Midwest. Come tutti, Riley è guidata dalle cinque emozioni principali - Gioia, Paura, Rabbia, Disgusto e Tristezza - che vivono nella sua mente e che la aiutano ad affrontare la quotidianità. Mentre Riley fatica ad adattarsi alla nuova grande città, nel quartier generale delle emozioni monta l'agitazione: sebbene Gioia cerchi di mantenere uno visione positiva delle cose, le restanti emozioni entrano in conflitto sul modo migliore per esplorare la nuova realtà in cui si trovano.","Commedia,Animazione,Famiglia"
Io sono leggenda,2007,https://image.tmdb.org/t/p/w342/2ke5xRhWeSdvnP76UmXBoXDixBV.jpg,Io.Sono.Leggenda.2007.ITA.AC3.Subs.1080p.BluRay.x264-HRS.mkv,false,"New York, 2012. Un virus ha ucciso tutti gli uomini e li ha trasformati in vampiri. La città è deserta, e l'unico sopravvissuto è il Dottor Robert Neville (Will Smith), scopritore di un possibile siero che potrebbe salvare l'umanità. Neville si muove alla luce del giorno con il suo cane lupo seguendo la quotidianità, in attesa della notte, in cui i vampiri escono dalla penombra, attaccando tutto ciò che incontrano.","Dramma,Horror,Azione,Thriller,Fantascienza"
